Generación,Mejor Individuo,Valor de la Función Objetivo
297,[14.2365618  26.69723537],376.43058266244554
298,[14.2365618  26.69723537],376.43058266244554
299,[14.2365618  26.69723537],376.43058266244554
300,[14.2365618  26.69723537],376.43058266244554
301,[14.2365618  26.69723537],376.43058266244554
302,[14.2365618  26.69723537],376.43058266244554
303,[14.2365618  26.69723537],376.43058266244554
304,[14.2365618  26.69723537],376.43058266244554
305,[14.2365618  26.69723537],376.43058266244554
306,[14.2365618  26.69723537],376.43058266244554
307,[14.2365618  26.69723537],376.43058266244554
308,[14.2365618  26.69723537],376.43058266244554
309,[14.2365618  26.69723537],376.43058266244554
310,[14.2365618  26.69723537],376.43058266244554
311,[14.2365618  26.69723537],376.43058266244554
312,[14.2365618  26.69723537],376.43058266244554
313,[14.2365618  26.69723537],376.43058266244554
314,[14.2365618  26.69723537],376.43058266244554
315,[14.2365618  26.69723537],376.43058266244554
316,[14.2365618  26.69723537],376.43058266244554
317,[14.2365618  26.69723537],376.43058266244554
318,[14.2365618  26.69723537],376.43058266244554
319,[14.2365618  26.69723537],376.43058266244554
320,[14.2365618  26.69723537],376.43058266244554
321,[14.2365618  26.69723537],376.43058266244554
322,[14.2365618  26.69723537],376.43058266244554
323,[14.2365618  26.69723537],376.43058266244554
324,[14.2365618  26.69723537],376.43058266244554
325,[14.2365618  26.69723537],376.43058266244554
326,[14.2365618  26.69723537],376.43058266244554
327,[14.2365618  26.69723537],376.43058266244554
328,[14.2365618  26.69723537],376.43058266244554
329,[14.2365618  26.69723537],376.43058266244554
330,[14.2365618  26.69723537],376.43058266244554
331,[14.2365618  26.69723537],376.43058266244554
332,[14.2365618  26.69723537],376.43058266244554
333,[14.2365618  26.69723537],376.43058266244554
334,[14.2365618  26.69723537],376.43058266244554
335,[14.2365618  26.69723537],376.43058266244554
336,[14.2365618  26.69723537],376.43058266244554
337,[14.2365618  26.69723537],376.43058266244554
338,[14.2365618  26.69723537],376.43058266244554
339,[14.2365618  26.69723537],376.43058266244554
340,[14.2365618  26.69723537],376.43058266244554
341,[14.2365618  26.69723537],376.43058266244554
342,[14.2365618  26.69723537],376.43058266244554
343,[14.2365618  26.69723537],376.43058266244554
344,[14.2365618  26.69723537],376.43058266244554
345,[14.2365618  26.69723537],376.43058266244554
346,[14.2365618  26.69723537],376.43058266244554
347,[14.2365618  26.69723537],376.43058266244554
348,[14.2365618  26.69723537],376.43058266244554
349,[14.2365618  26.69723537],376.43058266244554
350,[14.2365618  26.69723537],376.43058266244554
351,[14.2365618  26.69723537],376.43058266244554
352,[14.2365618  26.69723537],376.43058266244554
353,[14.2365618  26.69723537],376.43058266244554
354,[14.2365618  26.69723537],376.43058266244554
355,[14.2365618  26.69723537],376.43058266244554
356,[14.2365618  26.69723537],376.43058266244554
357,[14.2365618  26.69723537],376.43058266244554
358,[14.2365618  26.69723537],376.43058266244554
